Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
28 Feb 21, 3 Mar 21,Dido Elizabeth Belle,44240652,Mug,United Kingdom,United Kingdom,ENGLAND,paid,1,17.55,13.37,4.18
28 Feb 21, 2 Mar 21,Dido Elizabeth Belle,44240652,Sticker,United Kingdom,United Kingdom,ENGLAND,paid,1,3.04,2.19,0.85
28 Feb 21, 2 Mar 21,Dido Elizabeth Belle,44240652,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,51.91,31.41,20.50
27 Feb 21, 1 Mar 21,Joan of Arc- Albert Lynch,44225578,Poster,Netherlands,France,CVL,paid,1,30.09,17.26,12.83
27 Feb 21, 3 Mar 21,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",44218138,Sticker,United Kingdom,United Kingdom,WALES,paid,1,2.29,1.65,0.64
26 Feb 21, 1 Mar 21,Unknown - Vladimir Tretchikoff,44203562,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,21.35,12.92,8.43
25 Feb 21,26 Feb 21,Swazi Girl - Vladimir Tretchikoff,44171636,Greeting Card,Australia,Australia,NSW,paid,1,3.10,1.38,1.72
24 Feb 21,27 Feb 21,Ronnen - Sir William Russell Flint,44160995,Poster,United States,United States,CA,paid,1,24.63,13.89,10.74
24 Feb 21,25 Feb 21,Jael and Sisera - Artemisia Gentileschi,44148348,Sticker,United States,United States,WA,paid,2,6.84,4.74,2.10
23 Feb 21,24 Feb 21,St Cecilia - Guido Reni,44140974,Sticker,United States,United States,SC,paid,1,1.69,1.16,0.53
22 Feb 21,23 Feb 21,Diana Hunting- Guillarme Seignac,44100313,Sticker,United States,United States,FL,paid,1,1.57,1.04,0.53
22 Feb 21,23 Feb 21,Three Girls - Amrita Sher-Gil,44099459,Cotton Tote Bag,United Kingdom,United Kingdom,SCOTLAND,paid,1,19.96,14.81,5.15
20 Feb 21, 4 Mar 21,Tribal Women - Amrita Sher-Gil,44058687,Canvas Mounted Print,United States,Canada,QC,paid,1,43.57,28.41,15.16
20 Feb 21,23 Feb 21,Ndebele Girl - Vladimir Tretchikoff,44057806,Art Board Print,Australia,Australia,NSW,paid,1,22.43,8.76,13.67
18 Feb 21,21 Feb 21,&amp;quot;Maid of Heaven&amp;quot;-Sir John Everett Millais,44027837,Fitted T-Shirt,United States,United States,TX,paid,1,26.51,18.55,7.96
18 Feb 21,22 Feb 21,Queen Nzinga - Colorized,44006968,Framed Print,United States,United States,GA,paid,1,89.52,73.36,16.16
17 Feb 21,18 Feb 21,Utagawa Kuniyoshi - Ukiyo-e,43983240,Classic T-Shirt,Canada,Canada,BC,paid,1,19.80,13.42,6.38
16 Feb 21,18 Feb 21,Basuto Girl - Vladimir Tretchikoff,43975856,Art Board Print,United Kingdom,United Kingdom,ENGLAND,paid,1,29.21,12.89,16.32
16 Feb 21,18 Feb 21,Judith and Her Servant - Artemisia Gentileschi,43965727,Mask,United Kingdom,United Kingdom,SCOTLAND,paid,1,15.24,11.94,3.30
15 Feb 21,22 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Throw Pillow,United States,United States,CO,paid,2,72.02,44.60,27.42
15 Feb 21,17 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Acrylic Block,United States,United States,CO,paid,1,27.22,22.26,4.96
15 Feb 21,17 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Transparent Sticker,United States,United States,CO,paid,1,6.86,2.88,3.98
15 Feb 21,17 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Racerback Tank Top,United States,United States,CO,paid,1,25.69,17.73,7.96
15 Feb 21,17 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Sticker,United States,United States,CO,paid,1,3.28,2.23,1.05
15 Feb 21,18 Feb 21,Benzaiten (Goddess of Music and Good Fortune) Seated on a White Dragon - Aoigaoka Keisei,43943108,Magnet,United States,United States,CO,paid,1,7.32,6.15,1.17
15 Feb 21,18 Feb 21,Bride&amp;#39;s Toilet - Amrita Sher-Gil,43935675,Metal Print,United States,United States,NY,paid,1,208.45,170.02,38.43
14 Feb 21,17 Feb 21,Zulu Girl - Vladimir Tretchikoff,43908144,Throw Pillow,Germany,Germany,BE,paid,1,42.84,27.52,15.32
10 Feb 21,11 Feb 21,Saint Empress Theodora Enthroned-Jean Joseph Benjamin-Constant,43812073,Spiral Notebook,United States,United States,CA,paid,2,27.70,20.09,7.61
 9 Feb 21,15 Feb 21,Joan of Arc - Mark Twain cover,43806190,Throw Blanket,Germany,United Kingdom,NORTHERN IRELAND,paid,1,56.57,41.69,14.88
 9 Feb 21,12 Feb 21,Julie D’Aubigny - Jean Braud,43784533,Sticker,United Kingdom,United Kingdom,ENGLAND,paid,1,1.50,1.08,0.42
 7 Feb 21,10 Feb 21,Portrait of the Duchess Le Salle - Tamara de Lempicka,43754607,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,32.57,19.71,12.86
 7 Feb 21, 9 Feb 21,Joan of Arc- Albert Lynch,43744219,Graphic T-Shirt,United States,United States,PA,paid,1,34.98,25.50,9.48
 7 Feb 21, 9 Feb 21,Joan of Arc- Meme Slogan,43742252,Baseball ¾ Sleeve,United States,United States,MS,paid,1,33.26,23.18,10.08
 7 Feb 21, 9 Feb 21,Joan of Arc - Quote,43742252,Baseball ¾ Sleeve,United States,United States,MS,paid,1,33.26,23.18,10.08
 6 Feb 21, 9 Feb 21,Julie D’Aubigny - Jean Braud,43728549,Poster,United States,United States,CO,paid,1,36.42,19.94,16.48
 5 Feb 21, 8 Feb 21,The Reluctant Bride - August Toulmouche,43709045,Poster,United States,United States,NY,paid,1,24.59,13.85,10.74
 5 Feb 21, 6 Feb 21,Unknown Painting/Artists,43684320,Sticker,United States,United States,NY,paid,1,1.70,1.17,0.53
 3 Feb 21,10 Feb 21,Ndebele Girl - Vladimir Tretchikoff,43645519,Throw Pillow,United States,United States,AZ,paid,1,27.58,17.42,10.16
 2 Feb 21, 3 Feb 21,"Hasui: The Yama Temple, Sendai",43537112,Sticker,United States,United States,CA,paid,1,1.71,1.18,0.53
 1 Feb 21, 5 Feb 21,Judith and Her Servant - Artemisia Gentileschi,43535942,Sleeveless Top,United States,United States,NV,paid,1,31.80,25.92,5.88
 1 Feb 21, 2 Feb 21,Three Girls - Amrita Sher-Gil,43518968,Poster,Canada,Canada,QC,paid,1,20.30,12.22,8.08
 1 Feb 21, 3 Feb 21,Artemisia Gentileschi- Judith Slaying Holofernes,43517936,Greeting Card,United Kingdom,France,GES,paid,1,2.75,1.44,1.31
