Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
28 Sep 23,28 Sep 23,Isabella - Simon Maris,65020900,Greeting Card,United States,United States,PA,paid,1,5.97,2.60,3.37
26 Sep 23,27 Sep 23,Unknown Painting/Artists,64991670,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
26 Sep 23,27 Sep 23,Painting of a Rich Woman - Memeified,64991670,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
26 Sep 23,27 Sep 23,Woman Combing hair - memeified,64991670,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
24 Sep 23,26 Sep 23,Julie D’Aubigny - Jean Béraud ,64974266,Poster,Canada,Canada,ON,paid,1,19.29,11.97,7.32
23 Sep 23,26 Sep 23,Charles-Amable Lenoir - Joan of Arc,64962656,Sticker,United States,United States,MA,paid,1,2.98,1.30,1.68
22 Sep 23,25 Sep 23,Judith by Nathaniel Sichel ,64947208,Greeting Card,Netherlands,Germany,none,paid,1,3.52,1.75,1.77
22 Sep 23,25 Sep 23,Judith - Will Russell Flint,64947208,Greeting Card,Netherlands,Germany,none,paid,1,3.52,1.75,1.77
21 Sep 23,25 Sep 23,Joseph Tapiro - Baro,64940407,Poster,United States,United States,CA,paid,1,25.95,15.71,10.24
21 Sep 23,22 Sep 23,Reunited - Guillaume Seignac,64932804,Sticker,France,France,Île-de-France,paid,1,2.97,1.49,1.48
18 Sep 23,18 Sep 23,Painting of a Rich Woman - Memeified,64894965,Sticker,United States,United States,TX,paid,1,4.54,2.02,2.52
18 Sep 23,18 Sep 23,I Walk Like This Because I Can Back It up.,64894965,Sticker,United States,United States,TX,paid,1,4.54,2.02,2.52
10 Sep 23,12 Sep 23,Sudanese Beauty - Leopold Carl Muller,64804148,Art Board Print,N/A,United States,CA,paid,1,36.64,16.40,20.24
10 Sep 23,12 Sep 23,Artemisia Gentileschi- Judith Slaying Holofernes,64791675,Tote Bag,Germany,France,none,paid,1,40.02,20.01,20.01
 9 Sep 23,10 Sep 23,Portrait of a Young Woman - Jean-Etienne Liotard,64776620,Sticker,France,France,Val-de-Marne,paid,1,2.99,1.50,1.49
 7 Sep 23, 7 Sep 23,Timoclea - Elisabetta Sirani,64740547,Art Print,United States,United States,PA,paid,1,67.95,29.49,38.46
 5 Sep 23, 6 Sep 23,Woman with crown,64715325,Sticker,United Kingdom,United Kingdom,Kent,paid,1,2.56,1.28,1.28
 5 Sep 23, 6 Sep 23,Joan of Arc - Quote,64715325,Sticker,United Kingdom,United Kingdom,Kent,paid,1,2.56,1.28,1.28
 2 Sep 23, 5 Sep 23,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",64676306,Photographic Print,United States,United States,NY,paid,1,18.20,8.13,10.07
