Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
 1 Aug 21, 4 Aug 21,I resisted - Queen Nzingha,47599177,Mug,United States,United States,SC,paid,1,12.89,11.66,1.23
31 Jul 21, 4 Aug 21,Toussaint Louverture - Girardin,47587010,Jigsaw Puzzle,United States,United States,DC,paid,1,38.04,27.79,10.25
28 Jul 21,30 Jul 21,Timoclea - Elisabetta Sirani,47516108,Classic T-Shirt,United States,United States,NE,paid,1,27.35,18.31,9.04
28 Jul 21,29 Jul 21,Medusa - Carvaggio,47506970,Sticker,United Kingdom,United Kingdom,Northern Ireland,paid,1,3.03,1.35,1.68
27 Jul 21,28 Jul 21,Artemisia Gentileschi- Judith Slaying Holofernes,47488858,Classic T-Shirt,Czechia,Finland,SOUTH FINLAND,paid,1,21.69,15.51,6.18
25 Jul 21,30 Jul 21,Aisha - JOSÉ HERRERILLA CRUZ-HERRERA,47443610,Framed Print,United States,United States,PA,paid,1,84.63,74.83,9.80
25 Jul 21,30 Jul 21,Morning Papers - John George Brown,47443610,Framed Print,United States,United States,PA,paid,1,84.63,74.83,9.80
25 Jul 21,30 Jul 21,Creole in a Red Turban - Jacques Guillaume Lucien Amans (ca. 1840)⁠,47443610,Framed Print,United States,United States,PA,paid,1,84.63,74.83,9.80
24 Jul 21,27 Jul 21,Saint Cecilia Stained Glass Organ,47426885,Sticker,United States,United States,TX,paid,1,2.82,1.25,1.57
24 Jul 21,27 Jul 21,Saint Cecilia glass,47426885,Sticker,United States,United States,TX,paid,1,2.82,1.25,1.57
24 Jul 21,27 Jul 21,Tunisian girl with a jug - Hermann Katsch,47419845,Sticker,Australia,Australia,VIC,paid,1,28.77,13.05,15.72
24 Jul 21,27 Jul 21,Judith by Nathaniel Sichel ,47419845,Sticker,Australia,Australia,VIC,paid,1,28.77,13.05,15.72
24 Jul 21,27 Jul 21,Sketch Of A Black Woman - Artist Unknown,47419845,Sticker,Australia,Australia,VIC,paid,1,28.77,13.05,15.72
21 Jul 21,26 Jul 21,Lobster - Utagawa Kuniyoshi,47364460,Throw Pillow,Germany,Belgium,WALLONIA,paid,1,27.13,18.19,8.94
20 Jul 21,22 Jul 21,Queen Nzinga of Ndongo and Matamba- Killer of Portugese,47348735,Classic T-Shirt,Netherlands,Netherlands,NORTH HOLLAND,paid,1,28.20,19.98,8.22
19 Jul 21,22 Jul 21,Dido Elizabeth Belle,47322364,Sticker,Australia,Australia,VIC,paid,1,2.25,1.02,1.23
19 Jul 21,20 Jul 21,Queen Nzinga - Colorized,47314955,Throw Pillow,United States,United States,DE,paid,1,30.74,18.49,12.25
15 Jul 21,16 Jul 21,Saint Empress Theodora Enthroned-Jean Joseph Benjamin-Constant,47254665,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,18.64,12.75,5.89
13 Jul 21,15 Jul 21,Portrait of a Young Woman - Jean-Etienne Liotard,47210494,Sticker,United States,United States,LA,paid,1,2.86,1.29,1.57
13 Jul 21,13 Jul 21,The Maskal Flower - Afewerk Tekle,47198706,Poster,United States,United States,TN,paid,1,33.55,21.94,11.61
12 Jul 21,14 Jul 21,Tomyris Receiving the Head of Cyrus - Mattia Preti,47195830,Classic T-Shirt,Canada,Canada,QC,paid,1,27.65,19.51,8.14
12 Jul 21,13 Jul 21,Toussaint Louverture - Girardin,47191520,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,45.65,31.24,14.41
12 Jul 21,15 Jul 21,Unknown Portrait/ Artists,47188831,Photographic Print,United States,United States,OR,paid,1,14.99,5.86,9.13
12 Jul 21,12 Jul 21,Woman with crown,47179761,Tri-blend T-Shirt,United States,United States,AL,paid,1,28.93,23.14,5.79
11 Jul 21,12 Jul 21,Artemisia Gentileschi- Judith Slaying Holofernes,47160268,Cotton Tote Bag,United States,United States,UT,paid,1,20.11,14.29,5.82
10 Jul 21,15 Jul 21,Black Woman with Peonies - Frédéric Bazille,47158053,Poster,United States,United States,CA,paid,1,21.70,14.13,7.57
 9 Jul 21,12 Jul 21,The Maskal Flower - Afewerk Tekle,47138890,Greeting Card,United States,United States,FL,paid,3,19.74,7.23,12.51
 9 Jul 21,13 Jul 21,The Maskal Flower - Afewerk Tekle,47138890,Canvas Print,United States,United States,FL,paid,1,72.43,61.65,10.78
 8 Jul 21, 9 Jul 21,"Spring Evening, Ueno Toshogu Shrine - Hawase Kasui",47114642,Greeting Card,Netherlands,Germany,BW,paid,1,6.10,2.64,3.46
 6 Jul 21, 7 Jul 21,Portrait of Saint Benedict of Palermo - Unknown Artist,47079924,Canvas Mounted Print,United States,United States,MA,paid,1,38.12,25.64,12.48
 5 Jul 21, 8 Jul 21,Dido Elizabeth Belle,47055869,Sticker,United States,United States,NC,paid,1,2.79,1.22,1.57
 4 Jul 21, 7 Jul 21,The Maskal Flower - Afewerk Tekle,47045751,Wood Mounted Print,United States,United States,MA,paid,1,55.06,37.04,18.02
 3 Jul 21, 9 Jul 21,Portrait of a Young Woman - Jean-Etienne Liotard,47018699,Framed Print,United Kingdom,United Kingdom,Tyne and wear,paid,1,134.22,120.48,13.74
