Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
31 Aug 21, 3 Sep 21,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",48309195,Framed Print,United States,United States,NY,to be paid,1,140.71,124.78,15.93
31 Aug 21,31 Aug 21,Julie D’Aubigny - Jean Braud,48300519,Sticker,United States,United States,IL,to be paid,1,6.79,2.63,4.16
31 Aug 21, 1 Sep 21,Buffalo Soldier - Frederic Remington,48298675,Poster,United States,United States,TX,to be paid,1,44.23,22.33,21.90
31 Aug 21, 1 Sep 21,The Hunted Slaves - Richard Ansdell,48298675,Poster,United States,United States,TX,to be paid,1,61.94,31.28,30.66
29 Aug 21,31 Aug 21,Joan of Arc-Ready To Fight- Memeified,48266273,Classic T-Shirt,United States,United States,TX,to be paid,1,20.77,13.99,6.78
29 Aug 21,31 Aug 21, Salome - Jean Benner,48256458,Sticker,Netherlands,Netherlands,LIMBURG,to be paid,1,3.86,1.74,2.12
28 Aug 21,31 Aug 21,"Aïda, a Moorish Maid - John Lavery",48246569,Greeting Card,United Kingdom,United Kingdom,ENGLAND,to be paid,1,5.02,2.18,2.84
27 Aug 21,30 Aug 21,Africa by Rosalba Carriera,48214712,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
27 Aug 21,30 Aug 21,Moroccan Woman in White - Zinaida Serebriakova,48214712,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
27 Aug 21,30 Aug 21,Sudanese Beauty - Leopold Carl Muller,48214712,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
27 Aug 21,30 Aug 21,An Egyptian Beauty In White - Franz Xavier Kosler,48214712,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
27 Aug 21,30 Aug 21,Moroccan Children - Zinaida Serebriakova,48214712,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
27 Aug 21,30 Aug 21,Portrait of a Young Woman - Jean-Etienne Liotard,48212666,Poster,Netherlands,France,IDF,to be paid,1,23.22,12.86,10.36
26 Aug 21,27 Aug 21,The Reluctant Bride - August Toulmouche,48201457,Poster,United States,United States,IL,to be paid,1,29.04,14.77,14.27
25 Aug 21,26 Aug 21,Mountain Ghost - Hwa San-chiuen,48167768,Poster,United States,United States,PA,to be paid,1,24.04,11.91,12.13
25 Aug 21,28 Aug 21, Portrait of an African-American Woman Holding an Ewer - Selina Elizabeth Bres,48162696,Jigsaw Puzzle,United States,Germany,BE,to be paid,1,49.70,37.77,11.93
23 Aug 21,26 Aug 21,Joan of Arc- Albert Lynch,48115648,Poster,Australia,Australia,QLD,to be paid,1,22.48,11.54,10.94
22 Aug 21,24 Aug 21,Portrait of a Black Woman - Illya Repin,48098875,Poster,Netherlands,Finland,WEST AND INNER FINLAND,to be paid,2,76.58,43.54,33.04
22 Aug 21,24 Aug 21,Queen Nzinga - Colorized,48088304,Mask,United States,United States,NC,to be paid,1,8.92,7.25,1.67
22 Aug 21,24 Aug 21,Queen Victoria Coronation - Memeified,48087771,Sticker,United States,United States,TX,to be paid,1,14.43,5.53,8.90
21 Aug 21,23 Aug 21,Dido Elizabeth Belle,48065473,Art Print,United States,United States,PA,to be paid,1,24.66,13.30,11.36
21 Aug 21,24 Aug 21,"Louverture, as depicted in an 1802 French engraving",48065473,Sticker,United States,United States,PA,to be paid,1,6.62,2.46,4.16
21 Aug 21,23 Aug 21,A West Indian Woman Of Color- Agostino Brunias,48065473,Art Print,United States,United States,PA,to be paid,1,80.15,43.21,36.94
21 Aug 21,23 Aug 21,Thomas Alexander Dumas,48065473,Poster,United States,United States,PA,to be paid,1,43.40,21.50,21.90
19 Aug 21,24 Aug 21,Dido Elizabeth Belle,48034445,Graphic T-Shirt,United Kingdom,Germany,BE,to be paid,1,40.06,30.40,9.66
18 Aug 21,19 Aug 21,Jeanne D' Arc,48006410,Poster,Netherlands,France,GES,to be paid,1,14.68,8.72,5.96
18 Aug 21,25 Aug 21,Queen Nzinga - Colorized,47990250,Framed Print,United States,United States,IL,to be paid,1,108.61,96.36,12.25
16 Aug 21,18 Aug 21,Dahomey Amazon,47938478,Sleeveless Top,United States,United States,IL,to be paid,1,32.00,26.12,5.88
16 Aug 21,18 Aug 21,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",47938478,Sleeveless Top,United States,United States,IL,to be paid,1,32.00,26.12,5.88
16 Aug 21,18 Aug 21,Queen Nzinga - Colorized,47938478,Sleeveless Top,United States,United States,IL,to be paid,1,32.00,26.12,5.88
14 Aug 21,N/A,Timoclea - Elisabetta Sirani,47912264,Poster,United States,United States,MN,cancelled,1,26.02,14.23,11.79
13 Aug 21,16 Aug 21,Joan of Arc- Albert Lynch,47886499,Poster,United States,United States,AZ,to be paid,1,26.19,14.40,11.79
12 Aug 21,14 Aug 21,Julie D’Aubigny - Jean Braud,47864595,Photographic Print,United States,Canada,ON,paid,1,75.10,21.41,53.69
12 Aug 21,17 Aug 21,The Magic Circle - John William Waterhouse,47856346,Glossy Sticker,United States,United States,VA,to be paid,1,3.20,1.33,1.87
10 Aug 21,13 Aug 21,Joan of Arc- Albert Lynch,47803463,Poster,Australia,Australia,NSW,paid,1,54.94,30.61,24.33
 9 Aug 21,10 Aug 21,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",47786101,Classic T-Shirt,United Kingdom,United Kingdom,WORCESTERSHIRE,paid,1,27.45,19.38,8.07
 7 Aug 21, 9 Aug 21,Black Man - Joseph T. Bairo ,47745522,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,5.77,2.51,3.26
 7 Aug 21,11 Aug 21,Timoclea - Elisabetta Sirani,47737210,Classic T-Shirt,United States,United States,WA,paid,1,28.01,18.97,9.04
 6 Aug 21, 9 Aug 21,Julie D’Aubigny - Jean Braud,47730465,Sticker,United States,United States,VA,paid,1,6.60,2.44,4.16
 4 Aug 21, 6 Aug 21,Hishida Shunsō - Black Cat,47678955,Canvas Print,United States,United States,TN,paid,1,74.08,63.30,10.78
 4 Aug 21, 6 Aug 21,Artemisia Gentileschi- Judith Slaying Holofernes,47671026,Greeting Card,Australia,Australia,NSW,paid,1,3.02,1.16,1.86
