Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
29 Apr 19, 1 May 19,Queen Nzinga of Ndongo and Matamba- Killer of Portugese,26965870,Tri-blend T-Shirt,United States,United States,RI,paid,1,28.93,22.69,6.24
29 Apr 19,30 Apr 19,Jean Benner - Salome,26958785,Poster,United Kingdom,Ireland,none,paid,1,19.58,15.66,3.92
26 Apr 19,28 Apr 19,Queen Gunivere&#39;s Maying - John Collier,26925633,Greeting Card,United States,United States,WA,paid,1,2.45,1.93,0.52
25 Apr 19,26 Apr 19,Judith and her Maidservant - Artemisia Gentileschi,26914650,Premium Scoop T-Shirt,United States,United States,FL,paid,1,24.22,18.63,5.59
25 Apr 19,26 Apr 19,Faticida - Frederic Leighton,26907888,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,19.93,15.94,3.99
24 Apr 19,24 Apr 19,Jean Benner - Salome,26885714,Photographic Print,United States,United States,WI,paid,1,13.70,10.70,3.00
22 Apr 19,23 Apr 19,Jean Benner - Salome,26866278,Poster,United States,United States,OH,paid,1,13.39,10.30,3.09
22 Apr 19,24 Apr 19,Jean Benner - Salome,26862668,Photographic Print,United Kingdom,United Kingdom,ENGLAND,paid,1,29.23,23.38,5.85
19 Apr 19,22 Apr 19,"""Joan of Arc""- Albert Lynch",26821367,T-Shirt,United Kingdom,Ireland,WATERFORD,paid,1,26.91,21.53,5.38
19 Apr 19,19 Apr 19,Woman Combing hair - memeified,26812107,Spiral Notebook,United States,Canada,QC,paid,1,7.43,7.01,0.42
 6 Apr 19, 9 Apr 19,Queen Gunivere&#39;s Maying - John Collier,26614001,Greeting Card,Australia,Australia,NSW,paid,1,1.09,0.86,0.23
 6 Apr 19, 8 Apr 19,Joan of Arc - Quote,26601857,Sticker,United States,United States,AL,paid,1,1.67,1.15,0.52
 5 Apr 19,10 Apr 19,Japanese Geisha in Hiragana,26589243,Zipper Pouch,Australia,Australia,SA,paid,1,13.61,8.32,5.29
 4 Apr 19, 8 Apr 19,"""Maid of Heaven""-Sir John Everett Millais",26583884,Sticker,Netherlands,Netherlands,NORTH HOLLAND,paid,2,3.44,2.43,1.01
 2 Apr 19,11 Apr 19,"""Portrait of the Duchess Le Salle"" - Tamara de Lempicka",26548810,Photographic Print,United Kingdom,United Kingdom,ENGLAND,paid,1,39.45,31.56,7.89
 1 Apr 19, 2 Apr 19,Jean Benner - Salome,26522669,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,2,2.74,2.20,0.54
30 Mar 19, 3 Apr 19,Frédéric-Pierre Tschaggeny,26489818,Art Print,Australia,Australia,TAS,paid,1,29.76,23.38,6.38
29 Mar 19, 1 Apr 19,Jean Benner - Salome,26472764,Poster,Netherlands,Germany,BW,paid,1,12.37,9.91,2.46
29 Mar 19, 1 Apr 19,Jean Benner - Salome,26472764,Sticker,Netherlands,Germany,BW,paid,1,2.57,1.82,0.75
