Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
30 Nov 23, 5 Dec 23,A Scene From The Tyrolean Rebellion - Carl Friedrich Moritz Müller,66311394,Cotton Tote Bag,United Kingdom,Austria,-,paid,1,16.56,11.96,4.60
30 Nov 23, 5 Dec 23,A Scene From The Tyrolean Rebellion - Carl Friedrich Moritz Müller,66311394,Zipper Pouch,Germany,Austria,-,paid,1,21.20,10.60,10.60
29 Nov 23,30 Nov 23,The Reluctant Bride - August Toulmouche,66267931,iPhone 14 Pro Max - Tough,United States,United States,MI,paid,1,27.56,18.89,8.67
29 Nov 23,29 Nov 23,"Sketch of an unknown French soldier by Emile-Jean-Horace Vernet, c.1830",66256039,Greeting Card,United States,United States,MD,paid,2,10.44,4.54,5.90
29 Nov 23,29 Nov 23,Creole in a Red Turban - Jacques Guillaume Lucien Amans (ca. 1840)⁠,66256039,Greeting Card,United States,United States,MD,paid,1,5.22,2.27,2.95
29 Nov 23,29 Nov 23,Black Man - Joseph T. Bairo ,66256039,Greeting Card,United States,United States,MD,paid,2,10.44,4.54,5.90
28 Nov 23,29 Nov 23,Général Thomas Alexandre Dumas - Olivier Pichat,66233549,Mug,United States,United States,NY,paid,1,18.32,10.32,8.00
28 Nov 23,30 Nov 23,The Reluctant Bride - August Toulmouche,66232243,Poster,France,France,-,paid,1,12.11,7.78,4.33
28 Nov 23,30 Nov 23,The Reluctant Bride - August Toulmouche,66230622,Relaxed Fit T-Shirt,United Kingdom,United Kingdom,South Lanarkshire,paid,1,33.00,19.98,13.02
28 Nov 23,30 Nov 23,Goddess Diana,66218718,Poster,Australia,Australia,QLD,paid,1,15.94,9.11,6.83
28 Nov 23, 2 Dec 23,The Reluctant Bride - August Toulmouche,66197560,Poster,United States,United States,NY,paid,1,15.54,9.40,6.14
28 Nov 23,28 Nov 23,The Mulatto Gentlemen of Esmeraldas -  Andrés Sánchez Gallque,66194580,Glossy Sticker,United States,United States,IN,paid,1,3.19,1.91,1.28
28 Nov 23,28 Nov 23,Artemisia Gentileschi- Judith Slaying Holofernes,66192889,Poster,United States,United States,MI,paid,1,32.65,19.45,13.20
27 Nov 23, 1 Dec 23,The Reluctant Bride - August Toulmouche,66189360,Poster,United States,United States,NC,paid,1,32.97,19.77,13.20
27 Nov 23,29 Nov 23,Nubian Beauty - Tobias Andreae,66172316,Art Print,United States,Canada,ON,paid,1,37.40,21.37,16.03
27 Nov 23,29 Nov 23,Sad Queen,66166207,Poster,France,France,Tarn,paid,1,19.36,12.44,6.92
27 Nov 23,29 Nov 23,The Reluctant Bride - August Toulmouche,66156838,Poster,Australia,Australia,VIC,paid,1,10.58,6.05,4.53
27 Nov 23,27 Nov 23,Timoclea - Elisabetta Sirani,66149281,Poster,United States,United States,CO,paid,1,15.00,8.86,6.14
26 Nov 23,29 Nov 23,Preparing For The Ball - Ladislas Wladislaw von Czachorsk,66111756,Poster,United States,United States,OR,paid,1,14.33,8.19,6.14
24 Nov 23,27 Nov 23,The Reluctant Bride - August Toulmouche,66032435,Poster,United States,United States,NY,paid,1,23.84,14.42,9.42
24 Nov 23,26 Nov 23,The Reluctant Bride - August Toulmouche,66022851,Poster,United States,United States,LA,paid,1,24.01,14.59,9.42
23 Nov 23,24 Nov 23,The Reluctant Bride - August Toulmouche,65983266,Poster,Netherlands,Netherlands,-,paid,1,19.43,12.54,6.89
22 Nov 23,24 Nov 23, Salome - Jean Benner,65968911,Greeting Card,United States,United States,WA,paid,1,4.18,1.88,2.30
22 Nov 23,23 Nov 23,The Reluctant Bride - August Toulmouche,65963860,Poster,Netherlands,Austria,Wien,paid,1,19.32,12.42,6.90
22 Nov 23,22 Nov 23,Saint Maurice - Lucus Cranach the Elder,65960057,Sticker,United States,United States,TX,paid,1,3.03,1.35,1.68
22 Nov 23,25 Nov 23,Saint Cecilia - Bernardo Cavallino,65960048,Sticker,United States,United States,NY,paid,1,4.25,1.90,2.35
22 Nov 23,22 Nov 23,The Reluctant Bride - August Toulmouche,65948717,Art Board Print,N/A,United States,IN,paid,1,37.11,16.30,20.81
