Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
29 Apr 21, 2 May 21,Hildegard Von Bigen,45699055,Greeting Card,United Kingdom,Germany,BE,paid,1,3.08,1.18,1.90
29 Apr 21,29 Apr 21, Salome - Jean Benner,45694154,Poster,Netherlands,Germany,HE,paid,1,21.35,10.82,10.53
28 Apr 21,29 Apr 21,Saint Cecilia glass,45678005,Poster,United States,United States,TX,paid,1,28.07,14.02,14.05
26 Apr 21,27 Apr 21,Les femmes bien . . ,45639968,Greeting Card,Canada,Canada,ON,paid,1,3.53,1.66,1.87
26 Apr 21, 1 May 21,Portrait of Saint Benedict of Palermo - Unknown Artist,45622919,Mask,United States,United States,PA,paid,1,11.93,9.01,2.92
24 Apr 21,25 Apr 21,The Child Enthroned - Thomas Cooper Gotch,45600717,Greeting Card,Canada,Canada,ON,paid,1,5.05,2.37,2.68
24 Apr 21,29 Apr 21,Right and Left -  William Sidney Mount,45596182,Classic T-Shirt,United States,United States,MD,paid,1,27.15,18.11,9.04
21 Apr 21,22 Apr 21,Timoclea - Elisabetta Sirani,45528421,Poster,Netherlands,Finland,SOUTH FINLAND,paid,1,37.52,17.19,20.33
21 Apr 21,25 Apr 21,Timoclea - Elisabetta Sirani,45524736,Greeting Card,Australia,Australia,NSW,paid,1,3.02,1.34,1.68
18 Apr 21,20 Apr 21,Saint Cecilia Stained Glass Organ,45478077,Photographic Print,United States,United States,PA,paid,1,26.50,7.16,19.34
17 Apr 21,20 Apr 21,Jael and Sisera - Artemisia Gentileschi,45443883,Poster,United States,United States,TX,paid,1,31.31,14.25,17.06
17 Apr 21,20 Apr 21,Timoclea - Elisabetta Sirani,45443883,Poster,United States,United States,TX,paid,1,31.31,14.25,17.06
17 Apr 21,20 Apr 21,Unknown Portrait/ Artists,45443881,Essential T-Shirt,Canada,Canada,BC,paid,1,24.15,17.01,7.14
16 Apr 21,19 Apr 21,The Maskal Flower - Afewerk Tekle,45420001,Spiral Notebook,United States,United States,OR,paid,1,16.99,10.52,6.47
14 Apr 21, 5 May 21,Laundress - Robert Henri,45397057,Classic T-Shirt,United States,United States,MD,paid,1,21.72,14.49,7.23
14 Apr 21,15 Apr 21,Joan of Arc - Quote,45391271,Sticker,United States,United States,MA,paid,1,1.67,1.14,0.53
14 Apr 21,15 Apr 21,Judith and her Maidservant - Artemisia Gentileschi,45389992,Classic T-Shirt,Australia,Australia,VIC,paid,1,23.17,15.74,7.43
14 Apr 21,14 Apr 21,Judith slaying Holofernes - Artemisia Gentileschi Vers.2,45378065,Canvas Mounted Print,United States,Canada,AB,paid,1,35.68,23.27,12.41
13 Apr 21,14 Apr 21,La fille avec tambourin- Charles-Auguste Corbineau,45372013,Poster,United States,United States,PA,paid,1,30.74,13.68,17.06
13 Apr 21,14 Apr 21,Salome with the Head of Saint John the Baptist by Guido Reni,45363261,Sticker,Netherlands,Denmark,CAPITAL,paid,1,1.85,1.30,0.55
10 Apr 21,14 Apr 21,Painting of a Rich Woman - Memeified,45295572,Sticker,Canada,Canada,ON,paid,1,1.65,1.19,0.46
 9 Apr 21,13 Apr 21,St. Apollonia - Francisco de Zurbaran,45278554,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,4.31,2.10,2.21
 9 Apr 21,11 Apr 21,Portrait of an African - Allan Ramsay,45274704,Poster,United Kingdom,United Kingdom,England,paid,1,26.81,13.66,13.15
 8 Apr 21, 8 Apr 21,Portrait of a Young Woman - Jean-Etienne Liotard,45257553,Canvas Mounted Print,United States,United States,AZ,paid,1,48.00,32.57,15.43
 6 Apr 21, 9 Apr 21,"""Portrait of Lina Cavalieri"" - Giovanni Boldini",45216191,Throw Pillow,Germany,Germany,RP,paid,1,24.45,15.70,8.75
 6 Apr 21, 9 Apr 21,"""Portrait of Lina Cavalieri"" - Giovanni Boldini",45216191,Throw Pillow,Germany,Germany,RP,paid,2,60.40,38.80,21.60
 5 Apr 21, 7 Apr 21,Timoclea - Elisabetta Sirani,45195216,Art Print,Netherlands,France,GES,paid,1,29.69,14.73,14.96
 5 Apr 21, 6 Apr 21,Portrait of Betsy - François Fleischbein ,45186493,Greeting Card,United States,United States,CA,paid,1,4.34,1.89,2.45
 5 Apr 21, 6 Apr 21,Mrs. Alting/Mrs. Allwood - Simon Maris,45186493,Greeting Card,United States,United States,CA,paid,1,4.34,1.89,2.45
 5 Apr 21, 6 Apr 21,"Night On The Town - Edouard Marquis, 1867",45186493,Greeting Card,United States,United States,CA,paid,1,4.34,1.89,2.45
 5 Apr 21, 6 Apr 21,"African American Creole woman in fashionable dress of the era and parasol, with another woman in working class clothing, possibly her servant",45186493,Greeting Card,United States,United States,CA,paid,1,4.34,1.89,2.45
 5 Apr 21, 6 Apr 21,  Creole Women Of Color Taking The Air- Édouard Marquis ,45186493,Greeting Card,United States,United States,CA,paid,1,4.34,1.89,2.45
 2 Apr 21, 8 Apr 21,St. Cecilia - Nicole Poussin,45114237,Throw Pillow,United Kingdom,United Kingdom,Dundee,paid,1,34.46,23.02,11.44
 1 Apr 21, 6 Apr 21,Portrait of A Woman - Leopold Carl Muller,45091637,Art Print,United Kingdom,United Kingdom,ENGLAND,paid,1,58.48,31.61,26.87
