Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
 1 Jun 21, 2 Jun 21,Judith slaying Holofernes - Artemisia Gentileschi Vers.2,46398195,Classic T-Shirt,United States,United States,WA,paid,1,28.02,18.98,9.04
31 May 21, 2 Jun 21,Unknown Painting/Artists,46377821,Greeting Card,United Kingdom,Netherlands,UTRECHT,paid,1,3.10,1.20,1.90
28 May 21, 2 Jun 21,Cleopatra -Michelangelo Buonarroti  ,46307381,Canvas Mounted Print,United States,Canada,BC,paid,1,38.53,25.13,13.40
27 May 21, 7 Jun 21,Dahomey Amazon,46287904,Framed Print,United States,United States,KY,paid,1,105.77,93.52,12.25
27 May 21,27 May 21,Nzinga and Joan,46273173,Sticker,United States,United States,OH,paid,1,1.68,1.15,0.53
27 May 21,27 May 21,"Suzanne Béliar, Haitian Freedom fighter",46273173,Sticker,United States,United States,OH,paid,1,1.68,1.15,0.53
26 May 21,27 May 21,Goddess Artemis/Diana,46259382,Art Print,United Kingdom,United Kingdom,South Wales,paid,1,30.19,16.78,13.41
26 May 21,28 May 21,Artemis Out Hunting,46251326,Sticker,Australia,Australia,NSW,paid,1,1.43,1.00,0.43
25 May 21,31 May 21,Dahomey Amazon,46233497,Framed Print,United States,United States,MT,paid,1,79.83,70.03,9.80
23 May 21, 9 Jun 21,Goddess Diana,46200260,Sticker,Netherlands,Sweden,OSTERGOTLAND COUNTY,paid,1,1.89,1.33,0.56
18 May 21,19 May 21,"Daigokuden, Kyoto - Kawase Hasui",46107783,Mask,United Kingdom,United Kingdom,Perthshire,paid,1,12.39,9.72,2.67
18 May 21,N/A,Toussaint Louverture - Girardin,46105003,Poster,N/A,United States,WA,cancelled,1,41.93,22.62,19.31
18 May 21,18 May 21,I woke up like this - Fine Art,46100072,Classic T-Shirt,Czechia,Portugal,PORTO,paid,1,27.29,18.81,8.48
17 May 21,18 May 21,Moses and his Ethiopian Wife - Jacob Jordaens,46090389,Classic T-Shirt,United States,United States,FL,paid,1,25.62,16.58,9.04
16 May 21,17 May 21,The Maskal Flower - Afewerk Tekle,46067807,Photographic Print,United States,United States,CO,paid,1,115.65,31.09,84.56
16 May 21,19 May 21,Saint Catherine of Alexandria - Caravaggio,46059982,Graphic T-Shirt,United Kingdom,Germany,HH,paid,1,34.93,24.90,10.03
16 May 21,21 May 21,Général Thomas Alexandre Dumas - Olivier Pichat,46054442,Premium Scoop T-Shirt,United States,United States,FL,paid,1,29.75,19.99,9.76
15 May 21,19 May 21,Queen Victoria Coronation - Memeified,46045737,Canvas Print,Germany,France,ARA,paid,1,207.12,133.23,73.89
14 May 21,14 May 21,Toussaint Louverture - Girardin,46019369,Poster,United States,United States,WA,paid,1,58.70,31.67,27.03
13 May 21,17 May 21,Judith and her Maidservant - Artemisia Gentileschi,46004674,Greeting Card,United Kingdom,France,Bretagne,paid,1,3.07,1.19,1.88
13 May 21,14 May 21,"Nanny, Queen Of The Maroons : The Mother Of All Jamaicans",45990671,Classic T-Shirt,United States,United States,CT,paid,1,27.24,18.20,9.04
12 May 21,14 May 21,Judith and Her Servant - Artemisia Gentileschi,45979273,Relaxed Fit T-Shirt,United Kingdom,United Kingdom,none,paid,1,30.89,24.17,6.72
12 May 21,13 May 21,Joan of Arc- Albert Lynch,45970585,Long Sleeve,United States,United States,MI,paid,1,28.72,22.63,6.09
10 May 21,12 May 21,The Reluctant Bride - August Toulmouche,45923829,Poster,Canada,Canada,ON,paid,1,23.19,13.18,10.01
 9 May 21,10 May 21,"Self Portrait, the Artist Hesitating Between the Arts of Music and Painting- Angelica Kauffman",45916693,Transparent Sticker,Netherlands,Denmark,ZEALAND,paid,1,7.49,3.28,4.21
 9 May 21,10 May 21,Jeanne D&#39;Arc - Albert Lynch - Art Meme,45905054,Sticker,United States,United States,SC,paid,1,2.53,1.74,0.79
 9 May 21,10 May 21,Joan of Arc- Albert Lynch,45905054,Sticker,United States,United States,SC,paid,1,2.53,1.74,0.79
 9 May 21,10 May 21,Jeanne d' Arc - Albert Lynch - Meme 2,45905054,Sticker,United States,United States,SC,paid,2,5.06,3.48,1.58
 4 May 21, 5 May 21,Ushibori - Kawase Hasui ,45819448,Poster,Netherlands,France,NAQ,paid,1,47.25,23.94,23.31
 4 May 21, 5 May 21,Artemisia Gentileschi- Judith Slaying Holofernes,45813546,Classic T-Shirt,Czechia,Germany,HE,paid,1,27.07,18.66,8.41
 3 May 21, 5 May 21,Joan of Arc - Quote,45791619,Classic T-Shirt,United States,United States,MA,paid,1,24.49,16.36,8.13
 2 May 21, 4 May 21,Lake Biwa - Koho Shoda,45770642,Sticker,United States,United States,CA,paid,1,1.71,1.18,0.53
 1 May 21, 7 May 21,Goddess Artemis/Diana,45743085,Canvas Mounted Print,United States,United States,TX,paid,1,47.93,32.50,15.43
