Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
29 Jun 21, 1 Jul 21,St Cecilia - Guido Reni,46951145,Sticker,United States,United States,OR,paid,1,2.61,1.04,1.57
26 Jun 21,29 Jun 21,James Forten,46896162,Poster,United States,United States,LA,paid,1,52.13,23.49,28.64
26 Jun 21,29 Jun 21,Brahmacharis - Amrita Sher-gil,46891784,Pullover Sweatshirt,Canada,Canada,QC,paid,1,64.22,44.10,20.12
23 Jun 21,25 Jun 21,Charles-Amable Lenoir - Joan of Arc,46849930,Sticker,United States,United States,LA,paid,1,4.28,1.93,2.35
23 Jun 21,23 Jun 21,Timoclea - Elisabetta Sirani,46836635,Canvas Mounted Print,United States,United States,MD,paid,1,30.43,20.44,9.99
19 Jun 21,21 Jun 21,Judith and her Maidservant - Artemisia Gentileschi,46756311,Sticker,United States,United States,MI,paid,1,4.14,1.79,2.35
14 Jun 21,15 Jun 21,Joan of Arc- Albert Lynch,46664734,Canvas Print,United States,United States,NJ,paid,1,168.87,105.90,62.97
13 Jun 21,14 Jun 21,Portrait Meme,46653710,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,4.78,1.79,2.99
13 Jun 21,14 Jun 21,Les femmes bien . . ,46653710,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,4.78,1.79,2.99
13 Jun 21,14 Jun 21,"Charles Édouard Boutibonne- ""Unknown painting""",46653710,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,4.78,1.79,2.99
12 Jun 21,16 Jun 21,Timoclea - Elisabetta Sirani,46629360,Canvas Print,United States,United States,AZ,paid,1,171.36,108.39,62.97
11 Jun 21,14 Jun 21,Joan of Arc - Quote,46618695,Sleeveless Top,United States,United States,NY,paid,1,31.89,26.01,5.88
10 Jun 21,13 Jun 21,African Warrior Princess,46603428,Classic T-Shirt,United States,United States,LA,paid,1,28.01,18.97,9.04
 7 Jun 21,10 Jun 21,Joan of Arc- Albert Lynch,46542315,Classic T-Shirt,France,France,NAQ,paid,1,27.17,18.69,8.48
 6 Jun 21, 7 Jun 21,"The Flower Market, Cape Town - Irma Stern",46512932,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,46.03,22.99,23.04
 4 Jun 21, 7 Jun 21,Diana Hunting- Guillarme Seignac,46480146,Sticker,United Kingdom,United Kingdom,ENGLAND,paid,1,2.57,1.28,1.29
 4 Jun 21, 7 Jun 21,Saint Cecilia glass,46469039,Magnet,United States,United States,CA,paid,1,7.80,6.60,1.20
 4 Jun 21, 5 Jun 21,Saint Cecilia glass,46469039,Photographic Print,United States,United States,CA,paid,1,49.63,14.66,34.97
 3 Jun 21, 4 Jun 21,Joan of Arc- Albert Lynch,46452261,Sticker,Netherlands,Denmark,CENTRAL DENMARK REGION,paid,1,2.99,1.33,1.66
 2 Jun 21, 7 Jun 21,Three Girls - Amrita Sher-Gil,46442511,Cotton Tote Bag,United Kingdom,United Kingdom,ENGLAND,paid,1,20.15,14.94,5.21
 2 Jun 21, 3 Jun 21,Medusa - Carvaggio,46433364,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,5.48,2.06,3.42
 1 Jun 21, 3 Jun 21,Saint Cecilia glass,46400933,Greeting Card,United Kingdom,United Kingdom,ENGLAND,paid,1,6.90,2.59,4.31
