Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
31 Aug 23, 1 Sep 23, La femme à la fleur - Paul Gaugin - Meme,64651149,Sticker,United States,United States,IL,paid,1,3.05,1.37,1.68
31 Aug 23, 2 Sep 23,Artemis Out Hunting,64643552,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
31 Aug 23, 2 Sep 23,St. Catherine of Alexandria - Vicente Carducho,64643552,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
31 Aug 23, 2 Sep 23,The Martyrdom of St Cecilia by Carlo Saraceni ,64643552,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
31 Aug 23, 2 Sep 23,Saint Monica in a Landscape - Alexandre Cabanel,64643552,Sticker,United States,United States,MI,paid,1,2.97,1.29,1.68
29 Aug 23,31 Aug 23,Findelkind - Gabriel Von Max,64622321,Poster,United States,United States,OH,paid,1,29.25,12.87,16.38
29 Aug 23,30 Aug 23, Saint Cecilia - John Melhuish,64611401,Sticker,United States,United States,MI,paid,1,2.96,1.28,1.68
29 Aug 23,29 Aug 23,Portrait of Betsy - François Fleischbein ,64610032,Photographic Print,United States,United States,NY,paid,1,18.20,8.13,10.07
28 Aug 23,29 Aug 23,Timoclea - Elisabetta Sirani,64606067,Photographic Print,United Kingdom,United Kingdom,Devon,paid,1,22.29,11.14,11.15
22 Aug 23,22 Aug 23,Saint Cecilia glass,64522784,Sticker,United States,United States,TX,paid,1,4.84,2.15,2.69
18 Aug 23,19 Aug 23,Général Thomas Alexandre Dumas - Olivier Pichat,64435786,Poster,France,France,IDF,paid,1,20.03,10.01,10.02
10 Aug 23,11 Aug 23,Female Samurai,64295125,Photographic Print,United States,United States,CA,paid,1,33.29,14.91,18.38
 9 Aug 23,10 Aug 23,Dido Elizabeth Belle,64282526,Sticker,United States,United States,TX,paid,1,3.03,1.35,1.68
 5 Aug 23, 7 Aug 23,Mihrap - Osman,64222644,Sticker,Netherlands,Austria,VIENNA,paid,1,36.89,18.45,18.44
 5 Aug 23, 8 Aug 23,Joan of Arc - Mark Twain cover,64219103,Sticker,Canada,Canada,QC,paid,1,2.69,1.29,1.40
 3 Aug 23, 4 Aug 23,Général Thomas Alexandre Dumas - Olivier Pichat,64196031,Poster,United States,United States,MS,paid,1,36.52,16.04,20.48
