Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
31 Jul 23, 3 Aug 23,Joan of Arc- Albert Lynch,64157721,Premium T-Shirt,United States,United States,FL,paid,1,70.49,30.96,39.53
25 Jul 23,28 Jul 23,Portrait Meme,64080149,Sticker,United States,United States,GA,paid,1,3.00,1.32,1.68
24 Jul 23,25 Jul 23,Sudanese Beauty - Leopold Carl Muller,64066667,Glossy Sticker,United States,United States,SC,paid,1,3.27,1.45,1.82
20 Jul 23,20 Jul 23,Painting of Woman Kissing herself,64005241,Sticker,United States,United States,TX,paid,1,4.35,1.44,2.91
20 Jul 23,20 Jul 23,Portrait Meme,64005241,Sticker,United States,United States,TX,paid,1,4.35,1.44,2.91
20 Jul 23,20 Jul 23,"""Portrait of Marie Antoinette"" - Vigée Le Brun - Memeified",64005241,Sticker,United States,United States,TX,paid,1,4.35,1.44,2.91
20 Jul 23,20 Jul 23,Painting of a Rich Woman - Memeified,64005241,Sticker,United States,United States,TX,paid,1,4.35,1.44,2.91
15 Jul 23,18 Jul 23,Dowager Empress Cixi - Hubert Vos,63920700,Classic T-Shirt,France,Spain,CT,paid,1,52.11,21.00,31.11
12 Jul 23,13 Jul 23,Schools Out - Allan Rohan Crite,63883057,Art Board Print,N/A,United States,MA,paid,1,22.92,12.13,10.79
12 Jul 23,12 Jul 23,"Sketch of an unknown French soldier by Emile-Jean-Horace Vernet, c.1830",63869651,Greeting Card,United States,United States,MD,paid,1,7.92,2.42,5.50
12 Jul 23,12 Jul 23,Black Man - Joseph T. Bairo ,63869651,Greeting Card,United States,United States,MD,paid,1,7.92,2.42,5.50
 9 Jul 23,10 Jul 23,Two Catfish as Street Musicians in the Kashina district (Jishin no sucharaka),63824610,Greeting Card,United States,United States,PA,paid,1,8.81,2.69,6.12
 9 Jul 23,11 Jul 23,Two Catfish as Street Musicians in the Kashina district (Jishin no sucharaka),63824610,Tote Bag,United States,United States,PA,paid,1,39.22,23.36,15.86
 8 Jul 23, 9 Jul 23,Artemisia Gentileschi- Judith Slaying Holofernes,63813705,Classic T-Shirt,United States,United States,MO,paid,1,30.77,18.37,12.40
 5 Jul 23, 6 Jul 23,Sudanese Beauty - Leopold Carl Muller,63784298,Greeting Card,United Kingdom,United Kingdom,none,paid,1,15.19,5.87,9.32
 5 Jul 23, 6 Jul 23,"Sketch of an unknown French soldier by Emile-Jean-Horace Vernet, c.1830",63784298,Greeting Card,United Kingdom,United Kingdom,none,paid,1,15.19,5.87,9.32
 5 Jul 23, 7 Jul 23,Saint Empress Theodora Enthroned-Jean Joseph Benjamin-Constant,63781622,Sticker,United States,United States,VA,paid,1,2.36,1.24,1.12
 5 Jul 23, 6 Jul 23,Charles-Amable Lenoir - Joan of Arc,63776937,Canvas Mounted Print,United States,United States,CA,paid,1,61.62,37.31,24.31
 5 Jul 23, 7 Jul 23,The Underground Railroad - Charles T. Webber,63773095,Sticker,United States,United States,CT,paid,1,10.96,5.81,5.15
 1 Jul 23, 2 Jul 23,Artemisia Gentileschi- Judith Slaying Holofernes,63723130,Art Board Print,Australia,Australia,VIC,paid,1,20.84,10.42,10.42
