Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
27 Oct 23,30 Oct 23,Joan of Arc- Albert Lynch,65458324,Poster,Netherlands,Czechia,Czech Republic,paid,1,34.35,22.19,12.16
22 Oct 23,23 Oct 23,Timoclea - Elisabetta Sirani,65358834,Art Print,United States,United States,TX,paid,1,46.69,28.17,18.52
21 Oct 23,22 Oct 23,Three Girls - Amrita Sher-Gil,65350602,Classic T-Shirt,United Kingdom,United Kingdom,Select a region...,paid,1,34.20,21.99,12.21
10 Oct 23,11 Oct 23,Sappho and Erinna in a garden at Mytilene,65186126,Sticker,Australia,Australia,Victoria,paid,1,1.83,0.73,1.10
 8 Oct 23, 9 Oct 23,"The Kuli-Kuta Dance, Niamey (1926) - Alexandre Jacovleff ",65162548,Poster,Netherlands,Denmark,HOVEDSTADEN,paid,1,20.33,13.35,6.98
 5 Oct 23, 6 Oct 23,Queen Esther - Kate Gardiner Hastings,65128274,Sticker,Netherlands,Germany,none,paid,2,8.68,4.32,4.36
 5 Oct 23, 5 Oct 23,Queen Esther - Kate Gardiner Hastings,65124224,Poster,Netherlands,Germany,none,paid,1,19.19,12.28,6.91
